ID,Tanggal,Jenis,Nama Transaksi,Akun,Akun Tujuan (Transfer),Anggota,Kategori,Jumlah (IDR),Catatan
208,2026-02-17 16:00:00,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",2000,
209,2026-02-17 16:00:00,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,15000,pentol idm kayutangi
210,2026-02-17 16:00:00,Pemasukan,basedata.parttime_job,Sea Bank,,basedata.myself,basedata.parttime_job,475000,
202,2026-02-18 02:10:55,Pengeluaran,basedata.pet,UANG CASH,,basedata.myself,basedata.pet,32000,vitamin
203,2026-02-18 12:02:20,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,38000,soto banjar mama sultan
204,2026-02-18 12:02:20,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
205,2026-02-18 12:02:20,Pengeluaran,basedata.education,UANG CASH,,basedata.myself,basedata.education,46000,print
206,2026-02-18 15:36:28,Pengeluaran,Nongkrongs,UANG CASH,,basedata.myself,Nongkrongs ,28000,nordu coffee
211,2026-02-19 01:27:47,Pengeluaran,basedata.tax,Sea Bank,,basedata.myself,basedata.tax,175000,shopee
212,2026-02-19 08:40:26,Pengeluaran,Food,Sea Bank,,basedata.myself,Food,100000,rabenshi
213,2026-02-19 09:59:13,Pemasukan,Mingguan Ortu,BRI,,basedata.myself,Mingguan Ortu,300000,
214,2026-02-19 12:23:43,Transfer,Sea Bank,BRI,Sea Bank,,,100000,
215,2026-02-19 12:23:43,Transfer,UANG CASH,BRI,UANG CASH,,,200000,
216,2026-02-19 13:33:42,Pengeluaran,basedata.communication,Sea Bank,,basedata.myself,basedata.communication,50000,pulsa
217,2026-02-19 13:49:00,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,14000,tepi kopi
218,2026-02-20 10:28:27,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,15000,bfc fried chicken
219,2026-02-21 05:32:40,Pemasukan,Mingguan Ortu,BRI,,basedata.myself,Mingguan Ortu,200000,
220,2026-02-21 09:47:23,Pengeluaran,Bensin,UANG CASH,,basedata.myself,Bensin,50000,
221,2026-02-21 09:47:23,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,15000,bfc fried chicken
222,2026-02-21 09:47:23,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,17000,ayam geprek solo
223,2026-02-21 09:47:23,Pengeluaran,Foodstuffs,UANG CASH,,basedata.myself,Foodstuffs ,14000,saos sambel tomat
224,2026-02-22 07:50:58,Pemasukan,Mingguan Ortu,BRI,,basedata.myself,Mingguan Ortu,100000,
225,2026-02-22 07:50:58,Transfer,BRI,Sea Bank,BRI,,,50000,
226,2026-02-22 12:56:30,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,12000,kentuki
227,2026-02-22 12:56:30,Pengeluaran,House needs,UANG CASH,,basedata.myself,House needs ,19000,gas portable
228,2026-02-22 12:56:30,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,10000,gorengan
229,2026-02-23 13:20:49,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,10000,es buah
230,2026-02-23 13:20:49,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,7000,gorengan
231,2026-02-23 13:20:49,Pengeluaran,\"Ojol, Parkir\",UANG CASH,,basedata.myself,\"Ojol, Parkir\",4000,
232,2026-02-23 13:20:49,Pengeluaran,Nongkrongs,UANG CASH,,basedata.myself,Nongkrongs ,25000,sog coffee
233,2026-02-23 13:27:46,Pemasukan,basedata.bonus,BRI,,basedata.myself,basedata.bonus,100000,
